iter	RMSE
0	23.61723921
1	21.47256497
2	19.71481771
3	18.03237455
4	16.5995576
5	15.26992438
6	14.02207739
7	12.97041332
8	11.95846544
9	11.02632674
10	10.2339845
11	9.49954791
12	8.813976926
13	8.211349166
14	7.729526764
15	7.296912126
16	6.887678619
17	6.55112946
18	6.230836398
19	5.936452368
20	5.685657554
21	5.442434042
22	5.279096697
23	5.146698369
24	4.997701851
25	4.841704553
26	4.719571622
27	4.622551665
28	4.498527265
29	4.409860379
30	4.311782475
31	4.240245626
32	4.183888987
33	4.124655055
34	4.078809375
35	4.039080751
36	3.994457865
37	3.95212995
38	3.913971936
39	3.885539613
40	3.84948897
41	3.810020918
42	3.789994815
43	3.767905453
44	3.740578584
45	3.70508896
46	3.687113806
47	3.653362264
48	3.629292142
49	3.592872088
50	3.571753717
51	3.545111485
52	3.523179419
53	3.493102626
54	3.471808416
55	3.453739874
56	3.419178169
57	3.387329891
58	3.370622051
59	3.354307259
60	3.338822146
61	3.324615303
62	3.310568149
63	3.290435569
64	3.259926402
65	3.243049153
66	3.222797311
67	3.203614934
68	3.185134017
69	3.17222797
70	3.153114807
71	3.133380862
72	3.113865234
73	3.089364861
74	3.071319379
75	3.057245488
76	3.044668084
77	3.023614038
78	3.011769871
79	3.003206317
80	2.994354376
81	2.978337106
82	2.966389072
83	2.946160888
84	2.936598797
85	2.917869759
86	2.903611124
87	2.889096948
88	2.87746979
89	2.860483089
90	2.849680277
91	2.826197255
92	2.811979363
93	2.797439341
94	2.779053784
95	2.768994559
96	2.757093672
97	2.744426085
98	2.740802367
99	2.72964726
