iter	Passed	Remaining
0	146	14547
1	148	7256
2	149	4824
3	150	3608
4	152	2888
5	153	2399
6	154	2048
7	155	1785
8	156	1581
9	157	1418
10	158	1284
11	159	1172
12	160	1076
13	162	995
14	163	927
15	165	866
16	166	812
17	167	763
18	168	719
19	170	680
20	171	645
21	172	613
22	174	584
23	175	556
24	176	530
25	178	508
26	179	486
27	181	465
28	182	446
29	183	428
30	184	411
31	187	398
32	189	384
33	190	370
34	191	356
35	193	343
36	194	331
37	195	319
38	196	307
39	198	297
40	201	289
41	202	279
42	203	269
43	204	260
44	205	251
45	207	243
46	208	235
47	210	227
48	212	220
49	213	213
50	215	206
51	216	199
52	217	193
53	219	186
54	221	180
55	222	175
56	224	169
57	225	163
58	227	157
59	228	152
60	229	146
61	230	141
62	231	136
63	233	131
64	234	126
65	237	122
66	238	117
67	239	112
68	241	108
69	242	104
70	244	99
71	245	95
72	247	91
73	249	87
74	250	83
75	251	79
76	253	75
77	254	71
78	255	67
79	257	64
80	258	60
81	260	57
82	261	53
83	263	50
84	264	46
85	265	43
86	267	39
87	268	36
88	269	33
89	271	30
90	273	27
91	274	23
92	275	20
93	277	17
94	278	14
95	279	11
96	281	8
97	282	5
98	283	2
99	285	0
